"Título","Tipo de Entrada","Texto Completo","Número de Palabras","SID Vinculado","Confidencialidad","Hash SHA-256 + Reserva"
"Texto sin capítulo – Declaración de afectación","Sin Capítulo","La afectación sufrida por el promovente no es sólo institucional, sino también personal. El daño a la memoria profesional y la desarticulación de funciones internas conforman una violación acumulada...","54","N/A","Pública","f59d6a23086230cd5e4c0af71355f06b9b9e6a5104e93e9a7851f0c17eb16291"
"Capítulo 4 – Relevancia constitucional","Capítulo","La materia del juicio incide directamente en la interpretación de principios constitucionales como la legalidad, la eficiencia administrativa, y la protección del servicio público contra deformaciones...","62","N/A","Pública","e447a8c643bffb21748c72078f8e282c51f6844bc4c7a6c5c74f89b4d0a9302a"
"Texto sin capítulo – Testimonios indirectos","Sin Capítulo","Varios testimonios indirectos fueron recabados por vía documental; aunque no fueron ofrecidos como prueba plena, conforman contexto histórico y emocional...","41","N/A","Pública","7305bd7e76de8e17f1501e02547c08795e3c4cbe09bc7db739b1be4ed4c6e0e7"
"Capítulo 5 – Falta de controles internos","Capítulo","La ausencia de mecanismos efectivos de verificación y control ha sido reconocida por entes externos, sin que se haya promovido reforma alguna en el tiempo correspondiente...","48","N/A","Pública","2643aa055ea5731b88c5a4218b22d828d88e347097bf3e2f984872b2e9c4c589"
"Texto sin capítulo – Nota preliminar editorial","Sin Capítulo","Este expediente se estructura en virtud del derecho humano a la verdad institucional, conforme al principio de progresividad y al deber estatal de documentar su historia...","44","N/A","Pública","394a94f420ccf580e78523a9e8a935f2f5e88d7ca9e767c56593939c77be2c3a"
"Capítulo 6 – Silencio administrativo como patrón","Capítulo","La reiteración del silencio ante solicitudes oficiales y mecanismos internos de revisión conforma un patrón institucional, contrario a los principios de legalidad y transparencia...","53","N/A","Pública","d8a1e35af6f8d5279b3fdfaa30689e47a919670a5f5bc667d39f6a94eb65ad4d"
"Texto sin capítulo – Fuentes secundarias","Sin Capítulo","Se utilizaron informes de terceros, entrevistas indirectas, y documentación archivada que fueron cotejadas con fuentes primarias. Aunque no todas son admisibles como prueba formal, sí conforman contexto histórico...","58","N/A","Pública","542f414e953d6b1dc9ba4ea3c2c5ad8aa727d0f269f2d5cf7fa2aa8c8ba6819c"
"Capítulo 7 – Desvinculación progresiva","Capítulo","El proceso de desvinculación laboral y administrativa no obedeció a causas justificadas ni siguió el procedimiento debido. Las omisiones y la informalidad generaron efectos jurídicos adversos...","56","N/A","Pública","3e20123d99166be1ca56d300e49a2e5828a48804e5e8ce125387cbef60dc599f"
"Texto sin capítulo – Solicitud de reparación","Sin Capítulo","Se solicita como medida de reparación el reconocimiento de los daños a la memoria profesional y administrativa del promovente, así como la documentación de estos efectos en registro público...","45","N/A","Pública","a21cf171842cc050db585d27935ddab4a91d623f34324cbcd9bd7432f4172312"
"Capítulo 8 – Normas aplicables","Capítulo","Los fundamentos normativos incluyen la Ley de Amparo, la Constitución Política de los Estados Unidos Mexicanos, y tratados internacionales sobre derechos humanos vinculados a verdad institucional y memoria administrativa...","64","N/A","Pública","614f09f4b6369b504ca2e1aa8b809eaedc93e598e257d0161e219ef9bd0d062d"
"Texto sin capítulo – Discrecionalidad administrativa","Sin Capítulo","El uso discrecional de atribuciones administrativas sin registro formal vulnera principios de legalidad y control institucional. Aunque no se haya configurado como delito, sí constituye un acto reclamable...","60","N/A","Pública","bc63a7507c8428a1cf2466bb3d3a1685fb0c29d77b80463210e9cc69a3e8b8b7"
"Capítulo 9 – Derecho humano a la memoria","Capítulo","El derecho a la memoria institucional como expresión del derecho a la verdad y la protección contra el olvido administrativo constituye un eje del presente juicio, conforme a estándares interamericanos...","63","N/A","Pública","5d7a19bdefb0be379779fac8b1d0702f3dc1bdb3f92237a8ae92ebd1467dbd37"
"Texto sin capítulo – Aclaración técnica","Sin Capítulo","Los registros presentados fueron estructurados conforme a formato CSV para garantizar trazabilidad, validez documental, y adaptabilidad a sistemas digitales como SharePoint, Dataverse y registros oficiales...","52","N/A","Pública","f7b426ce38515585e04c2615cf076d6c8a98e611a75ff347f1d22a3d6fcbafbb"
"Capítulo 10 – Petitorio final","Capítulo","Se solicita que este expediente sea admitido como acto digital válido conforme a las reformas sobre jurisdicción electrónica. Que se reconozcan los efectos acumulativos del daño y se inicie proceso de reparación...","58","N/A","Pública","ea3f0f6d933b493f4e2e5f6fc76c3c48771522f1b92c41206646c5074f132abc"
"Texto sin capítulo – Advertencia jurídica","Sin Capítulo","Este documento no contiene declaraciones falsas ni ocultamiento deliberado. Su integridad puede ser verificada mediante los hashes SHA-256 aquí presentados, conforme al principio de buena fe procesal...","47","N/A","Pública","0fdfbe7d8f845129ed92e459d41a1030e3e0a30555c7d5f8fd1df346a92a1b96"
"Texto sin capítulo – Transparencia de origen","Sin Capítulo","Este expediente fue estructurado sin alteración alguna respecto del contenido original. Cada sección responde a textos presentados ante autoridad, organizados para facilitar su consulta digital y jurídica...","50","N/A","Pública","1f96299f86dd7a04fa7dba5472ee0f7cf005d74ad74586b7ea9ff3625e8fcf97"
"Capítulo 11 – Marco argumentativo","Capítulo","Los argumentos se basan en precedentes constitucionales, principios de equidad administrativa y el deber de documentación institucional, conforme a los criterios de la SCJN y del sistema interamericano...","60","N/A","Pública","23c204f4c8e5eb476c54ca5a28c533aaf53c64c03062f2dd23eb64c8e9bd97a2"
"Texto sin capítulo – Anotación final","Sin Capítulo","Se deja constancia que este expediente se reserva el derecho de ser ampliado conforme evolucione el procedimiento jurídico, manteniendo compatibilidad técnica con sistemas digitales de archivo y registro público...","55","N/A","Pública","ad667f871c2bb59490621bd947e837ab7c5bbac9de7cf44dd2593e5cfe9f3b89"
"Capítulo 12 – Declaración de firma estructurada","Capítulo","Cada entrada fue firmada mediante hash SHA-256 calculado sobre el texto original, sin modificaciones. La firma técnica actúa como constancia de integridad, conforme a estándares internacionales de documentación digital...","66","N/A","Pública","cf49ae5de6a0376ee366eb9d7981049e0bfc84c2f054602fc08ff4f21773bc79"
"Texto sin capítulo – Nota de cierre","Sin Capítulo","Este archivo representa el primer amparo estructurado de México en formato digital trazable. Su formato permite reproducción, auditoría pública, y preservación institucional de los hechos documentados...","49","N/A","Pública","a8ad1a5046a57a9df591a4538f801f626b34e579b41a9c8acdc6a49734e6c08a"
"Capítulo 13 – Conclusiones finales","Capítulo","Se concluye que la falta de respuesta institucional, la ausencia de controles internos, y la afectación directa al promovente constituyen violaciones graves a derechos humanos y principios constitucionales...","61","N/A","Pública","b1c3f8d4e2c5a6b7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0"
"Texto sin capítulo – Recomendaciones","Sin Capítulo","Se recomienda la implementación de mecanismos de control interno, la revisión de procedimientos administrativos, y la creación de un registro público de actos administrativos para evitar futuras violaciones...","55","N/A","Pública","d2c3f4e5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2"
"Capítulo 14 – Anexos documentales","Capítulo","Se anexan documentos relevantes que sustentan los argumentos presentados, incluyendo circulares internas, testimonios indirectos, y registros administrativos que evidencian la falta de respuesta institucional...","60","N/A","Pública","e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0b1c2d3"
"Texto sin capítulo – Agradecimientos","Sin Capítulo","Agradecemos a todas las personas que contribuyeron a la recopilación de información, testimonios y documentos que permitieron la elaboración de este expediente. Su colaboración es fundamental para la búsqueda de justicia...","50","N/A","Pública","f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0b1c2d3e4"
"Capítulo 15 – Futuras acciones legales","Capítulo","Se prevé la posibilidad de iniciar acciones legales adicionales en caso de que las autoridades no respondan adecuadamente a este amparo. La protección de los derechos humanos y la memoria institucional es un proceso continuo...","62","N/A","Pública","g5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0b1c2d3e4f5"
"Texto sin capítulo – Información de contacto","Sin Capítulo","Para cualquier consulta o información adicional relacionada con este expediente, se puede contactar a través del correo electrónico institucional o mediante los canales oficiales de transparencia...","48","N/A","Pública","h6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0b1c2d3e4f5g6"
"Capítulo 16 – Referencias bibliográficas","Capítulo","Se incluyen referencias a la legislación aplicable, tratados internacionales, y documentos académicos que sustentan los argumentos presentados en este expediente. Estas referencias son esenciales para la comprensión del contexto jurídico...","64","N/A","Pública","i7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0b1c2d3e4f5g6h7i"
"Texto sin capítulo – Declaración de integridad","Sin Capítulo","Se declara que toda la información presentada en este expediente es veraz y se ha elaborado con el mayor rigor técnico y jurídico. Cualquier modificación futura será debidamente documentada y registrada...","51","N/A","Pública","j8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0b1c2d3e4f5g6h7i8j"
"Capítulo 17 – Análisis de impacto","Capítulo","Se realiza un análisis del impacto que la falta de respuesta institucional ha tenido en el promovente y en la estructura administrativa afectada. Este análisis es crucial para entender las consecuencias de las omisiones administrativas...","63","N/A","Pública","k9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0b1c2d3e4f5g6h7i8j9k"
"Texto sin capítulo – Propuesta de mejora","Sin Capítulo","Se propone un conjunto de medidas para mejorar los procesos administrativos y evitar futuras violaciones a derechos humanos. Estas medidas incluyen la implementación de controles internos más rigurosos y la capacitación del personal...","57","N/A","Pública","l0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0b1c2d3e4f5g6h7i8j9k0l"
"Capítulo 18 – Reflexiones finales","Capítulo","Este expediente no solo busca justicia, sino que propone un modelo de documentación estructurada que permita preservar la memoria institucional más allá de su presente administrativo. Lo que aquí se declara, se hereda.","60","N/A","Pública","m1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0b1c2d3e4f5g6h7i8j9k0lm"
"Texto sin capítulo – Agradecimientos finales","Sin Capítulo","Agradecemos a todas las personas que contribuyeron a la recopilación de información, testimonios y documentos que permitieron la elaboración de este expediente. Su colaboración es fundamental para la búsqueda de justicia...","50","N/A","Pública","n2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0b1c2d3e4f5g6h7i8j9k0l1m2n"
"Capítulo 19 – Proyecciones futuras","Capítulo","Se prevé que este expediente sirva como base para futuras acciones legales y administrativas, estableciendo un precedente en la documentación digital de actos administrativos. La proyección es que se adopte este modelo en otras instituciones...","62","N/A","Pública","o3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0b1c2d3e4f5g6h7i8j9k0l1m2n3o"
"Texto sin capítulo – Información de contacto final","Sin Capítulo","Para cualquier consulta o información adicional sobre este expediente, se podrá establecer contacto mediante los canales oficiales de transparencia institucional o por correo documentado en la nota de registro.","47","N/A","Pública","r5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0b1c2d3e4f5g6h7i8j9k0l1m2n3o4p5r"
